DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2_CC_P4;NC2_CC_P4S1;FEX_C
665284;1;1;1;95;148000;325,091173005521
665284;2;1;2;96;12000;325,091173005521
665284;3;1;3;97;99;325,091173005521
665286;1;1;1;95;8800;315,706206942731
667511;1;1;1;98;200000;117,851700110779
667513;1;1;1;98;45000;117,851700110779
667946;1;1;1;98;100000;117,851700110779
673044;1;1;1;97;180000;1209,83107027761
673064;1;1;1;98;200000;161,333877340041
673090;1;1;1;97;60000;719,19137969729
673119;1;1;1;98;380000;117,851700110779
673120;1;1;1;98;350000;117,851700110779
673140;1;1;1;98;500000;163,870612455505
673141;1;1;1;98;120000;252,742416345566
673181;1;1;1;97;30000;189,74790956574
673190;1;1;1;98;200000;123,661704034021
673191;1;1;1;98;300000;117,851700110779
673192;1;1;1;98;600000;117,851700110779
673193;1;1;1;98;180000;117,851700110779
673194;1;1;1;98;80000;117,851700110779
678030;1;1;1;97;30000;626,67475440935
678050;1;1;1;98;600000;227,350613786737
681852;1;1;1;97;70000;494,574002755461
681853;1;1;1;97;170000;987,383079209937
681856;1;1;1;97;80000;363,768651274268
685829;1;1;1;97;30000;1246,25514638022
688855;1;1;1;98;90000;385,607577652759
688856;1;1;1;98;280000;398,676100848361
692868;1;1;1;98;280000;227,121165447361
693656;1;1;1;95;99;172,520313464044
693656;2;1;2;97;99;172,520313464044
697269;1;1;1;98;300000;356,881693271821
697273;1;1;1;98;360000;427,251401007073
698473;1;1;1;98;200000;131,255924293889
705917;1;1;1;95;10000;159,678026624897
705921;1;1;1;98;48000;194,98784547007
710119;1;1;1;97;300000;214,26608001449
710120;1;1;1;98;150000;165,559302814346
710121;1;1;1;98;200000;260,921174337036
710122;1;1;1;98;300000;145,943808075883
710123;1;1;1;98;240000;105,622660402599
710124;1;1;1;98;250000;105,622660402599
710128;1;1;1;98;200000;144,975987852164
710129;1;1;1;98;150000;141,09721905852
710130;1;1;1;98;500000;141,09721905852
711356;1;1;1;98;65000;462,343298367063
711500;1;1;1;98;400000;262,005036990916
711501;1;1;1;98;200000;175,108284215441
711505;1;1;1;98;250000;189,279725235931
712339;1;1;1;97;50000;96,9796516536806
712880;1;1;1;98;150000;215,979801336235
722456;1;1;1;98;100000;166,455185468162
722457;1;1;1;98;280000;163,623662366909
722459;1;1;1;98;180000;240,409796944757
723405;1;1;1;98;200000;257,528803496661
723406;1;1;1;98;230000;143,602868894848
723407;1;1;1;98;150000;192,19360366483
723409;1;1;1;98;120000;203,007617055436
723410;1;1;1;98;150000;145,943808075883
723820;1;1;1;97;260000;143,520513567201
723821;1;1;1;98;130000;164,591482590628
723822;1;1;1;98;300000;165,559302814346
723823;1;1;1;98;150000;211,246576913173
723824;1;1;1;98;150000;259,057471459502
723825;1;1;1;98;60000;145,049181530042
723828;1;1;1;98;200000;120,769167477309
723831;1;1;1;98;20000;143,520513567201
723955;1;1;1;98;50000;249,6585225904
724000;1;1;1;98;200000;190,329900787296
724007;1;1;1;98;270000;143,520513567201
724008;1;1;1;98;230000;215,505797493844
724010;1;1;1;98;250000;105,622660402599
724012;1;1;1;98;300000;214,078100014425
724013;1;1;1;98;330000;188,311905012213
724014;1;1;1;97;260000;214,26608001449
724016;1;1;1;98;300000;143,520513567201
734485;1;1;1;98;200000;165,559302814346
734532;1;1;1;98;250000;303,659626796474
734534;1;1;1;98;150000;213,18221736061
734535;1;1;1;98;120000;142,552693343483
734536;1;1;1;98;120000;190,329900787296
734537;1;1;1;98;200000;143,520513567201
734538;1;1;1;98;60000;168,50686834576
734572;1;1;1;98;200000;259,952098005343
734573;1;1;1;96;60000;258,907364528899
734573;2;1;2;97;150000;258,907364528899
734574;1;1;1;98;450000;212,214397136891
734575;1;1;1;98;150000;328,430224769424
734576;1;1;1;98;600000;143,520513567201
734577;1;1;1;98;150000;262,005036990916
734585;1;1;1;98;200000;192,227290767345
734586;1;1;1;96;25000;143,520513567201
734586;2;1;2;97;30000;143,520513567201
734587;1;1;1;98;200000;260,805131906874
734589;1;1;1;98;470000;122,605093549298
737915;1;1;1;97;150000;436,675426071952
737925;1;1;1;98;100000;351,470521342802
737947;1;1;1;98;200000;257,004532473928
737948;1;1;1;98;500000;143,520513567201
737950;1;1;1;98;200000;237,95281533356
737952;1;1;1;98;300000;165,559302814346
737956;1;1;1;98;450000;214,790351037223
737957;1;1;1;98;300000;105,622660402599
737960;1;1;1;98;300000;164,591482590628
743597;1;1;1;97;210000;270,408674557236
743598;1;1;1;97;140000;430,848609927801
